State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AK,2016,1,111019.0,155088.0,0.417196842,R,R
AL,2016,1,0.0,208083.0,0.0,R,R
AL,2016,2,112089.0,134886.0,0.453847555,R,R
AL,2016,3,94549.0,192164.0,0.329768793,R,R
AL,2016,4,0.0,235925.0,0.0,R,R
AL,2016,5,102234.0,205647.0,0.332056866,R,R
AL,2016,6,83709.0,245313.0,0.254417638,R,R
AL,2016,7,229330.0,0.0,1.0,D,D
AR,2016,1,0.0,183866.0,0.0,R,R
AR,2016,2,111347.0,176472.0,0.386864661,R,R
AR,2016,3,0.0,217192.0,0.0,R,R
AR,2016,4,0.0,182885.0,0.0,R,R
AZ,2016,1,142219.0,121745.0,0.538781804,O,D
AZ,2016,2,135873.0,179806.0,0.430415074,R,R
AZ,2016,3,148973.0,0.0,1.0,D,D
AZ,2016,4,81296.0,203487.0,0.285466478,R,R
AZ,2016,5,114940.0,205184.0,0.359048369,O,R
AZ,2016,6,122866.0,201578.0,0.378697094,R,R
AZ,2016,7,119465.0,39286.0,0.752530693,D,D
AZ,2016,8,0.0,204942.0,0.0,R,R
AZ,2016,9,169055.0,108350.0,0.609415836,D,D
CA,2016,1,128588.0,185448.0,0.409468978,R,R
CA,2016,2,254194.0,76572.0,0.768500995,D,D
CA,2016,3,152513.0,104453.0,0.593514317,D,D
CA,2016,4,130845.0,220133.0,0.372801144,R,R
CA,2016,5,224526.0,67565.0,0.7686851020000001,D,D
CA,2016,6,177565.0,57848.0,0.754270155,D,D
CA,2016,7,152133.0,145168.0,0.511713718,D,D
CA,2016,8,83035.0,136972.0,0.377419809,R,R
CA,2016,9,133163.0,98992.0,0.573595227,D,D
CA,2016,10,116470.0,124671.0,0.482995426,R,R
CA,2016,11,214868.0,83341.0,0.72052822,D,D
CA,2016,12,274035.0,0.0,1.0,D,D
CA,2016,13,293117.0,29754.0,0.907845548,D,D
CA,2016,14,231630.0,54817.0,0.808631265,D,D
CA,2016,15,198578.0,70619.0,0.737667953,D,D
CA,2016,16,97473.0,70483.0,0.580348425,D,D
CA,2016,17,233192.0,0.0,1.0,D,D
CA,2016,18,230460.0,93470.0,0.711450005,D,D
CA,2016,19,181802.0,64061.0,0.739444325,D,D
CA,2016,20,180980.0,74811.0,0.707530758,O,D
CA,2016,21,57282.0,75126.0,0.432617365,R,R
CA,2016,22,76211.0,158755.0,0.324349055,R,R
CA,2016,23,74468.0,167116.0,0.308248891,R,R
CA,2016,24,166034.0,144780.0,0.5341908670000001,O,D
CA,2016,25,122406.0,138755.0,0.468699385,R,R
CA,2016,26,169248.0,111059.0,0.603795125,D,D
CA,2016,27,168977.0,81655.0,0.674203613,D,D
CA,2016,28,210883.0,59526.0,0.779866794,D,D
CA,2016,29,171824.0,0.0,1.0,D,D
CA,2016,30,205279.0,77325.0,0.726383915,D,D
CA,2016,31,121070.0,94866.0,0.560675385,D,D
CA,2016,32,186646.0,0.0,1.0,D,D
CA,2016,33,219397.0,110822.0,0.664398475,D,D
CA,2016,34,159156.0,0.0,1.0,D,D
CA,2016,35,124044.0,47309.0,0.723909123,D,D
CA,2016,36,144348.0,88269.0,0.620539341,D,D
CA,2016,37,237272.0,0.0,1.0,D,D
CA,2016,38,163590.0,68524.0,0.704782995,D,D
CA,2016,39,112679.0,150777.0,0.427695706,R,R
CA,2016,40,106554.0,0.0,1.0,D,D
CA,2016,41,128164.0,69159.0,0.649513741,D,D
CA,2016,42,104689.0,149547.0,0.41177882,R,R
CA,2016,43,167017.0,52499.0,0.7608420340000001,D,D
CA,2016,44,178413.0,0.0,1.0,O,D
CA,2016,45,129231.0,182618.0,0.414402483,R,R
CA,2016,46,164593.0,0.0,1.0,O,D
CA,2016,47,154759.0,88109.0,0.637214454,D,D
CA,2016,48,127715.0,178701.0,0.416802647,R,R
CA,2016,49,154267.0,155888.0,0.49738679,R,R
CA,2016,50,103646.0,179937.0,0.36548735299999996,R,R
CA,2016,51,145162.0,54362.0,0.727541549,D,D
CA,2016,52,181253.0,139403.0,0.565256848,D,D
CA,2016,53,198988.0,97968.0,0.670092539,D,D
CO,2016,1,257254.0,105030.0,0.7100893220000001,D,D
CO,2016,2,260175.0,170001.0,0.604810589,D,D
CO,2016,3,150914.0,204220.0,0.424949456,R,R
CO,2016,4,123642.0,248155.0,0.33255244100000003,R,R
CO,2016,5,111676.0,225445.0,0.331263849,R,R
CO,2016,6,160372.0,191626.0,0.455604861,R,R
CO,2016,7,199758.0,144066.0,0.5809891110000001,D,D
CT,2016,1,200686.0,105674.0,0.655065936,D,D
CT,2016,2,208818.0,111149.0,0.652623552,D,D
CT,2016,3,213572.0,95786.0,0.690371673,D,D
CT,2016,4,187811.0,125724.0,0.599011275,D,D
CT,2016,5,179252.0,129801.0,0.580004077,D,D
DE,2016,1,233554.0,172301.0,0.57546168,O,D
FL,2016,1,114079.0,255107.0,0.309001425,O,R
FL,2016,2,102801.0,231163.0,0.307820603,O,R
FL,2016,3,136338.0,193843.0,0.412918975,R,R
FL,2016,4,113088.0,287509.0,0.282298669,O,R
FL,2016,5,194549.0,108325.0,0.6423430210000001,O,D
FL,2016,6,151051.0,213519.0,0.41432646700000003,R,R
FL,2016,7,182039.0,171583.0,0.5147841479999999,R,D
FL,2016,8,127127.0,246483.0,0.340266588,R,R
FL,2016,9,195311.0,144450.0,0.574848202,O,D
FL,2016,10,198491.0,107498.0,0.648686717,D,D
FL,2016,11,124713.0,258016.0,0.325851974,O,R
FL,2016,12,116110.0,253559.0,0.31409179600000003,R,R
FL,2016,13,184693.0,171149.0,0.519030918,R,D
FL,2016,14,195789.0,121088.0,0.617870656,D,D
FL,2016,15,135475.0,182999.0,0.42538794399999996,R,R
FL,2016,16,155262.0,230654.0,0.402320712,R,R
FL,2016,17,115974.0,209348.0,0.356489878,R,R
FL,2016,18,161918.0,201488.0,0.44555676,O,R
FL,2016,19,123812.0,239225.0,0.341045128,O,R
FL,2016,20,222914.0,54646.0,0.803120046,D,D
FL,2016,21,210606.0,118038.0,0.640833242,D,D
FL,2016,22,199113.0,138737.0,0.589353263,D,D
FL,2016,23,183225.0,130818.0,0.5834392110000001,D,D
FL,2016,24,1.0,0.0,1.0,D,D
FL,2016,25,95319.0,157921.0,0.376397883,R,R
FL,2016,26,115493.0,148547.0,0.437407211,R,R
FL,2016,27,129760.0,157917.0,0.45106143299999996,R,R
GA,2016,1,0.0,210243.0,0.0,R,R
GA,2016,2,148543.0,94056.0,0.612298484,D,D
GA,2016,3,95969.0,207218.0,0.31653402,O,R
GA,2016,4,220146.0,70593.0,0.757194597,D,D
GA,2016,5,253781.0,46768.0,0.84439143,D,D
GA,2016,6,124917.0,201088.0,0.383175105,R,R
GA,2016,7,114220.0,174081.0,0.39618315600000004,R,R
GA,2016,8,83225.0,173983.0,0.323570807,R,R
GA,2016,9,0.0,256535.0,0.0,R,R
GA,2016,10,0.0,243725.0,0.0,R,R
GA,2016,11,105383.0,217935.0,0.325942261,R,R
GA,2016,12,99420.0,159492.0,0.38399147200000006,R,R
GA,2016,13,252833.0,0.0,1.0,D,D
GA,2016,14,0.0,216743.0,0.0,R,R
HI,2016,1,145417.0,45958.0,0.75985369,O,D
HI,2016,2,170848.0,39668.0,0.811567767,D,D
IA,2016,1,177403.0,206903.0,0.461619126,R,R
